Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Bytes/s,Flow Packets/s,Destination Port,Average Packet Size,SYN Flag Count,Label
2.187,7,5,276,955,878.03,4.71,443,64.59,2,BENIGN
2.559,12,2,863,441,962.72,11.29,443,137.88,1,BENIGN
1.049,4,11,683,871,1764.11,11.37,53,69.48,0,BENIGN
1.84,10,4,1421,997,1599.33,15.53,443,77.94,2,BENIGN
1.932,4,2,1250,1484,1029.72,15.22,53,76.72,2,BENIGN
1.622,5,10,731,1345,1817.68,7.24,443,76.46,0,BENIGN
1.067,11,12,1112,782,1518.27,18.19,443,62.71,1,BENIGN
0.424,10,8,478,252,1757.02,19.94,80,83.24,1,BENIGN
0.0182,1,0,58,0,4774.53,731.9,59660,60,1,PortScan
0.047,88,1,59597,375,154091.54,1732.19,80,1065.58,6,DDoS
2.008,9,11,1260,1209,722.44,18.46,80,67.38,0,BENIGN
0.97,9,4,720,1228,1939.36,11.68,53,91.54,2,BENIGN
1.941,2,10,688,424,1947.66,8.19,443,84.21,1,BENIGN
48.15,8,6,302,301,39.76,0.693,443,113.28,1,Bot
1.501,9,3,1324,608,829.85,5.37,443,62.1,1,BENIGN
2.606,11,12,310,1135,1829.21,16.48,53,107.09,1,BENIGN
1.194,3,10,931,1293,681.24,13.34,53,76.05,1,BENIGN
0.566,4,10,1245,238,1783.77,16.42,53,60.47,0,BENIGN
0.942,6,3,1477,1215,1337.17,18.34,443,110.04,2,BENIGN
1.98,12,8,1271,743,802.55,18.86,443,70.25,2,BENIGN
1.337,5,4,319,414,321.0,12.81,443,77.07,0,BENIGN
1.545,6,3,495,409,1574.45,15.85,443,159.46,0,BENIGN
0.358,11,4,1005,311,662.01,19.59,443,109.85,2,BENIGN
1.817,7,7,366,1105,691.08,13.85,80,95.57,2,BENIGN
2.434,10,10,388,1277,412.29,15.79,443,157.11,1,BENIGN
0.281,2,6,1167,730,629.2,13.68,443,113.67,2,BENIGN
0.437,8,10,777,1426,711.76,8.69,443,82.24,1,BENIGN
0.191,217,2,52771,311,85529.18,1142.3,80,522.8,17,DDoS
164.4,7,3,361,180,32.08,0.479,6667,144.3,1,Bot
0.063,276,3,80806,17,54416.06,4344.47,443,1132.13,19,DDoS
0.0398,1,0,53,0,8711.35,435.56,17116,41,1,PortScan
1.37,7,2,470,1200,686.34,14.45,80,66.53,2,BENIGN
1.286,11,4,654,1471,987.62,17.54,443,81.96,0,BENIGN
2.238,5,2,1089,520,1020.38,17.13,443,129.34,1,BENIGN
2.392,10,2,968,1094,1566.82,11.44,443,81.05,0,BENIGN
0.0053,1,0,80,0,14116.15,533.98,8694,46,1,PortScan
0.0447,1,0,44,0,18075.43,729.04,46613,64,1,PortScan
2.31,5,6,459,289,1958.43,11.72,80,132.92,2,BENIGN
1.831,8,8,952,1115,1156.08,6.86,80,134.27,1,BENIGN
1.982,3,3,344,815,1191.54,13.33,443,91.31,2,BENIGN
242.78,5,4,276,327,12.46,0.171,8080,126.99,0,Bot
2.264,9,2,1493,1041,721.62,14.01,443,64.88,0,BENIGN
2.674,3,6,1479,372,654.18,10.74,443,80.78,0,BENIGN
1.651,12,10,1050,1455,596.89,8.95,443,135.12,2,BENIGN
2.832,5,2,793,718,932.78,10.29,53,69.17,1,BENIGN
2.308,11,2,1396,670,444.66,4.67,443,175.14,1,BENIGN
