dur,spkts,dpkts,sbytes,dbytes,rate,pkt_rate,dport,smean,synack,label
0.41,7,7,678,1177,496.54,9.86,443,86.6,0,BENIGN
0.0168,1,0,63,0,17313.93,772.44,8064,66,1,PortScan
0.02,187,5,68995,477,212478.59,2700.44,80,738.87,13,DDoS
2.643,8,12,1370,1499,468.29,16.67,443,164.74,0,BENIGN
0.183,236,4,85771,122,361713.16,568.0,80,886.08,9,DDoS
1.867,11,8,414,240,382.14,18.3,80,165.43,0,BENIGN
2.504,6,3,878,208,1125.44,18.26,443,98.37,2,BENIGN
2.031,7,2,1050,1457,1507.24,17.36,443,71.21,0,BENIGN
1.333,11,4,1082,605,1586.83,6.5,80,126.28,2,BENIGN
1.432,2,9,426,351,1661.18,6.96,53,171.73,2,BENIGN
0.553,8,6,928,1026,1735.42,11.43,443,172.41,0,BENIGN
1.851,9,12,415,1164,850.66,8.11,80,105.0,1,BENIGN
0.0192,1,0,61,0,16824.91,377.01,36452,52,1,PortScan
1.607,7,3,545,1151,1460.71,5.44,443,137.06,2,BENIGN
2.405,6,10,208,823,975.86,5.58,80,140.17,0,BENIGN
0.386,6,6,716,1371,1237.16,19.0,443,68.82,0,BENIGN
0.212,10,11,440,1219,975.74,19.89,443,110.15,1,BENIGN
0.607,10,10,418,259,470.18,6.73,53,118.85,1,BENIGN
0.418,11,7,486,1115,1928.52,18.82,443,161.07,2,BENIGN
2.155,8,12,1248,461,1132.17,7.03,53,91.34,2,BENIGN
0.025,164,3,71545,269,195149.26,4710.86,80,429.37,17,DDoS
0.23,9,3,879,1354,749.53,14.32,443,118.6,2,BENIGN
1.983,8,3,281,1100,1114.98,7.49,443,60.34,2,BENIGN
0.0141,1,0,60,0,15010.31,657.18,35650,58,1,PortScan
0.511,7,5,907,376,1009.3,15.9,53,159.45,1,BENIGN
0.0083,1,0,48,0,9870.81,564.49,15574,79,1,PortScan
1.027,2,4,1328,336,1330.07,9.57,80,122.04,1,BENIGN
0.378,6,7,1365,1374,1197.85,19.31,80,169.81,0,BENIGN
0.0206,1,0,60,0,12639.95,468.08,9912,64,1,PortScan
1.763,3,12,942,508,1982.19,7.65,80,172.43,2,BENIGN
0.026,1,0,77,0,12738.88,465.92,54067,80,1,PortScan
0.508,3,8,480,1309,1306.08,17.78,443,140.25,1,BENIGN
1.513,6,2,696,883,676.69,12.2,443,176.35,1,BENIGN
2.167,3,7,392,566,376.79,5.97,443,130.31,1,BENIGN
0.0313,1,0,63,0,18728.32,702.18,24624,63,1,PortScan
0.0145,1,0,60,0,8089.94,385.78,28710,45,1,PortScan
0.269,4,9,1227,1191,1784.2,16.81,80,68.95,2,BENIGN
1.873,9,5,1386,306,1800.86,7.36,443,65.54,1,BENIGN
1.602,3,10,924,1216,1927.31,5.24,443,162.38,0,BENIGN
0.0279,1,0,60,0,11287.9,604.39,31030,70,1,PortScan
0.87,10,10,931,1201,373.96,13.66,80,102.69,1,BENIGN
0.735,6,7,685,1092,359.36,14.63,443,156.58,0,BENIGN
0.048,285,5,26705,373,159993.31,2898.86,443,1441.7,13,DDoS
0.0266,1,0,70,0,13131.29,899.59,4316,73,1,PortScan
2.057,2,7,423,1287,618.74,9.19,443,120.57,0,BENIGN
1.903,5,4,451,1250,455.5,17.63,443,63.45,2,BENIGN
2.547,7,5,1073,221,343.48,8.1,443,95.98,2,BENIGN
0.0483,1,0,52,0,12140.02,485.69,36479,63,1,PortScan
0.148,160,2,72608,58,63584.35,2083.18,80,1495.35,19,DDoS
0.359,12,5,1346,1177,1719.98,5.91,443,176.48,1,BENIGN
0.144,234,1,60575,466,140313.9,2969.29,80,482.28,10,DDoS
0.0496,1,0,52,0,14614.83,260.77,40687,42,1,PortScan
0.479,5,2,464,1430,382.62,5.18,53,100.94,0,BENIGN
1.939,12,11,759,1486,1221.83,18.79,53,72.06,0,BENIGN
0.141,108,0,42449,78,344375.85,4991.71,443,771.92,19,DDoS
0.062,117,0,61030,196,139258.37,4364.95,443,913.18,16,DDoS
